country_code,country_name,year,gdp_current_usd,gdp_per_capita_usd,inflation_rate,unemployment_rate,governance_score,financial_inclusion_pct,corruption_perception_index,political_stability_index
NG,,2022,2479093534985.0,11049028380.62,1.69,15.09,-0.457,79.2,32.1,-2.877
NG,,2023,2575661901194.0,13393096124.68,6.5,,0.147,94.1,44.2,1.79
NG,,2024,2501033737790.0,46076876560.32,6.7,3.28,-1.757,57.4,40.9,-0.913
NG,,2025,2573095261943.0,108043830408.92,8.88,1.73,-1.118,84.0,55.6,2.804
KE,,2018,1355161996.0,,4.21,11.81,-2.178,65.8,44.1,2.005
KE,,2019,1398859774.0,16555606.82,4.74,4.67,-0.375,57.1,71.0,1.834
KE,,2020,1377502005.0,310397455.75,2.17,4.42,0.889,54.4,12.1,-2.724
KE,,2021,1378147017.0,15435553.67,0.22,0.43,-1.63,,77.2,0.208
KE,,2022,1444996910.0,,-2.2,0.14,1.375,26.6,34.4,2.413
KE,,2023,1437799565.0,18737922.54,5.33,4.97,0.298,54.8,59.7,-2.711
KE,,2024,1475485010.0,106084434.47,4.49,5.19,-1.595,67.5,39.1,2.589
KE,,2025,1507777960.0,15104095.17,0.18,12.42,-1.196,53.1,54.6,-0.822
VE,,2018,25715869949.0,143024384.99,1.99,9.02,-1.855,41.2,55.6,-0.575
VE,,2019,26596685936.0,153070317.87,1.12,11.33,-0.891,88.1,89.0,2.638
VE,,2020,27237525729.0,95605028.04,2.84,12.83,2.255,54.0,25.4,2.463
VE,,2021,27210109729.0,106174562.56,2.17,5.69,0.524,19.3,18.1,-1.279
VE,,2022,27526861807.0,101072175.31,3.12,5.02,0.137,23.9,15.0,0.34
VE,,2023,28714098652.0,132716366.82,8.37,9.56,2.095,36.9,47.2,-0.164
VE,,2024,29095277304.0,159430721.44,6.72,3.39,-2.377,34.1,68.3,-2.32
VE,Qatar,2025,29373848868.0,2044435546.52,-1.22,5.25,1.301,72.0,44.2,1.342
IR,,2018,38699883256.0,313365346.49,9.35,0.81,-0.43,61.3,88.4,2.651
IR,,2019,38149071822.0,400748040.12,7.71,2.09,-1.458,39.0,67.5,-0.381
IR,,2020,35561954150.0,229802941.3,8.65,3.01,0.407,56.2,66.1,1.776
IR,,2021,,221788352.05,3.01,7.16,1.595,,75.5,-1.177
IR,,2022,36148748687.0,161829241.24,-3.73,,-2.226,36.3,42.2,2.156
IR,,2023,38646453993.0,,10.32,14.79,-0.962,23.8,77.5,-1.121
IR,,2024,,158995461.34,4.9,4.88,2.344,29.1,79.7,2.562
IR,,2025,,449718263.63,5.04,0.22,-2.017,34.5,37.0,0.038
KP,,2018,271080000654.0,1195298474.4,8.41,14.09,1.159,94.3,72.2,-1.035
KP,,2019,270379752436.0,1002341095.62,4.05,8.21,1.401,71.3,37.1,-2.017
KP,,2020,273391619673.0,1092214339.18,5.51,7.9,0.447,45.0,60.4,-0.838
KP,,2021,277444867157.0,1163389645.5,-2.14,4.38,-2.324,52.4,33.2,2.552
KP,,2022,281908164680.0,3345652685.01,2.29,1.82,1.226,51.3,61.4,0.761
KP,,2023,286063043595.0,9878577720.77,0.24,14.77,-0.04,72.7,16.8,-2.1
KP,,2024,290746666416.0,1409441157.45,8.3,3.2,0.243,17.1,64.4,-0.174
KP,,2025,294668800445.0,1161107332.03,4.58,2.19,-0.886,21.2,78.9,-0.81
MM,,2018,48240235913.0,235323265.62,0.61,5.01,-1.808,76.2,10.5,-0.742
MM,,2019,49777387555.0,606932796.51,4.67,3.07,-0.633,26.9,12.1,-2.551
MM,,2020,51164687193.0,190843933.53,8.47,2.63,1.676,69.2,26.8,-1.545
MM,,2021,48921976807.0,276447618.1,7.21,11.68,-1.136,69.8,36.9,-1.182
MM,,2022,47910114376.0,253489067.5,5.68,7.21,1.567,98.4,85.3,-1.891
MM,,2023,,349225726.99,2.15,6.78,-2.456,70.5,81.3,-2.144
MM,,2024,50939345372.0,258624971.2,11.09,0.38,1.898,15.1,46.7,2.737
MM,,2025,51146524742.0,174799373.3,4.85,2.96,-0.438,50.8,47.7,0.188
